MIN_OR_RANGE_PCT,VOLUME_MULTIPLIER,CONFIRMATION_BARS,INITIAL_STOP_MULTIPLIER,total_trades,winning_trades,losing_trades,win_rate,total_pnl,total_return_pct,avg_win,avg_loss,largest_win,largest_loss,profit_factor,sharpe_ratio,max_drawdown_pct,avg_r_multiple,avg_or_range,avg_holding_time_hours,initial_capital,final_capital
0.0005,1.5,2,0.75,16,2,14,0.125,-271.30190672735023,-0.04165557251696009,4.980494370000656,20.09020681909654,9.554955000000291,43.1928215499986,0.03541522504577062,0.10628054938737581,14.887352796697758,-0.6952160469702704,0.0,0.75,100000,99958.34442748304
0.0005,1.5,2,1.0,16,2,14,0.125,-275.39253860235056,-0.08288976689199626,4.980494370000656,20.38239481016799,9.554955000000291,52.402914199999486,0.034907536741435305,0.10617564459800169,14.925232504635897,-0.5670471480148123,0.0,0.9114583333333334,100000,99917.110233108
0.001,1.0,1,0.5,19,3,16,0.15789473684210525,-300.33230899752664,-0.09362435010177432,10.709693214167032,20.778836790001733,26.26238249999915,47.37061000000244,0.09664003321988415,0.11436837095989118,15.029185896866368,-0.7744980061708425,0.0,1.0087719298245612,100000,99906.37564989823
0.001,1.0,1,0.75,19,3,16,0.15789473684210525,-336.21686307751975,-0.14451823509673703,10.709693214167032,23.021621420001303,26.26238249999915,63.31263499999932,0.08722528448459756,0.11425612934385927,15.028324108464322,-0.6414480803457516,0.0,1.333333333333333,100000,99855.48176490326
0.001,1.0,1,1.0,19,3,16,0.15789473684210525,-384.07536766502585,-0.1663351253842411,10.709693214167032,26.012777956720434,26.26238249999915,79.2546600000012,0.07719542607088344,0.11421674033401892,15.03371738297295,-0.583899585049203,0.0,1.6798245614035086,100000,99833.66487461576
0.001,1.0,2,0.5,19,3,16,0.15789473684210525,-277.42959686837116,-0.09186870217596879,12.074457080000153,19.603310506773227,26.26238249999915,47.37061000000244,0.11548869267350521,0.11418887195457507,15.029324591775515,-0.6957934490229261,0.0,0.9473684210526314,100000,99908.13129782403
0.001,1.0,2,0.75,19,3,16,0.15789473684210525,-307.86642844836683,-0.14821030967096158,12.074457080000153,21.505612480522956,26.26238249999915,63.31263499999932,0.10527301673228028,0.11405976368535915,15.028462787468042,-0.567746156755014,0.0,1.1798245614035086,100000,99851.78969032904
0.001,1.0,2,1.0,19,3,16,0.15789473684210525,-348.4408928358697,-0.17731124015842215,12.074457080000153,24.041516504741885,26.26238249999915,79.2546600000012,0.09416879763194186,0.11400047352848618,15.034132028941269,-0.5104790420981434,0.0,1.451754385964912,100000,99822.68875984158
0.001,1.2,1,0.5,19,3,16,0.15789473684210525,-330.0718364425262,-0.09511696754675358,5.670965714167285,21.692795849064254,11.146199999999908,47.37061000000244,0.0490165527212221,0.11509903991112082,15.029185896866368,-0.8500609113757228,0.0,0.9122807017543859,100000,99904.88303245325
0.001,1.2,1,0.75,19,3,16,0.15789473684210525,-363.20501552251903,-0.14876222754173796,5.670965714167285,23.763619541563806,11.146199999999908,63.31263499999932,0.04474512266730194,0.11498184162230714,15.028324108464322,-0.6920836016004195,0.0,1.2543859649122804,100000,99851.23777245826
0.001,1.2,1,1.0,19,3,16,0.15789473684210525,-411.06352011002514,-0.170579117829242,5.670965714167285,26.754776078282937,11.146199999999908,79.2546600000012,0.03974266382552385,0.11494306235767113,15.03371738297295,-0.6250647501288586,0.0,1.6008771929824561,100000,99829.42088217076
0.001,1.2,2,0.5,17,3,14,0.17647058823529413,-274.28427608087475,-0.07516126636350236,7.035729580000407,21.099390344348283,11.146199999999908,47.37061000000244,0.07145497163501499,0.10839712883657683,15.029324178168086,-0.7545260976792663,0.0,0.9215686274509803,100000,99924.8387336365
0.001,1.2,2,0.75,17,3,14,0.17647058823529413,-297.44659536086976,-0.12973111155845982,7.035729580000407,22.753841721490783,11.146199999999908,63.31263499999932,0.0662594192675406,0.1082585715221844,15.028462373908047,-0.5950335791268038,0.0,1.2009803921568627,100000,99870.26888844154
0.001,1.2,2,1.0,17,3,14,0.17647058823529413,-333.49792244837226,-0.15430890474593617,7.035729580000407,25.32893651345525,11.146199999999908,79.2546600000012,0.059523080954094455,0.10820382142006911,15.034131615248986,-0.5275245832058044,0.0,1.5049019607843137,100000,99845.69109525406
